fold,epoch,train_loss,val_loss
1,1,1.3489648738662101,1.355597977585738
1,2,1.2131401473603491,1.2397629783456905
1,3,1.1666936511631623,1.1879159770723657
1,4,1.0953490015635217,1.1863756517212698
1,5,1.0785544508212979,1.1213724692435676
1,6,1.061174870917147,1.0783371613231802
1,7,1.0281403440250418,1.0135472210740966
1,8,1.0169766418986872,0.9817486999960553
1,9,1.0163099866617997,0.9656836734704831
1,10,0.9932631652087259,0.9552084302824434
2,1,1.3483620577142503,1.3260925163744324
2,2,1.2147521271453738,1.3574087134582185
2,3,1.1621760240433632,1.1831510013993374
2,4,1.0967629293616927,1.146447864189428
2,5,1.0793536393746488,1.1127133872633463
2,6,1.0598541613308818,1.0224421005361815
2,7,1.032206524756887,1.0101598971333434
2,8,1.0202703509869537,1.0085047921971046
2,9,1.0140876730145325,0.973685246842137
2,10,0.9978072198220669,0.9497875012153514
3,1,1.3460369495720175,1.3963444676815393
3,2,1.2138627685139964,1.2535056843259789
3,3,1.171481056515353,1.3250688129206467
3,4,1.0939260145279672,1.0725855234688297
3,5,1.077173584563475,1.0289878155337266
3,6,1.0624123629613382,1.0490373058478557
3,7,1.0279015512483936,1.0075230558583632
3,8,1.0198545109160744,0.9732865621662451
3,9,1.0099324508452936,0.9786923511187754
3,10,0.9994161240171467,0.9716486662966587
4,1,1.3366295576533225,1.3042231586201156
4,2,1.211831050905772,1.2633347631375902
4,3,1.1596370778313807,1.3468232591428337
4,4,1.0916529642229977,1.0881434652778104
4,5,1.0749565794374076,1.0613257289418971
4,6,1.0614450911028444,1.0654425544703765
4,7,1.0225799095744919,1.0096556192801789
4,8,1.0177069548232542,1.0693851294661423
4,9,1.0129923842134656,0.9719744770017378
4,10,0.9919845626204933,0.9450494679113391
5,1,1.342841401902828,1.3587612663483133
5,2,1.208193624626122,1.2521825036710623
5,3,1.1638199638386924,1.278519713732661
5,4,1.0918164514916755,1.1741564234422177
5,5,1.0696673821505966,1.1265549497215115
5,6,1.0652787281081786,1.020702713946907
5,7,1.025500545986179,1.0281031710274366
5,8,1.0159228932701938,0.9978645624189961
5,9,1.0147126955732242,0.9633008611445524
5,10,0.9956316534691105,0.9461138763476391
