fold,train_samples,val_samples,best_epoch,train_loss_best,val_loss,precision,recall,f1,accuracy,avg_iou,mAP,mAP_50,mae,mse,r2,matched_pairs
1,4903,1226,10,0.9932631652087259,0.9567315904195701,0.4884181559768968,0.787014252649531,0.6027634979427707,0.4313969017094017,0.7714000664506317,0.1934761588848586,0.5012531328320802,0.8624567985534668,2.558844566345215,0.9999245398220163,32303
2,4903,1226,10,0.9978072198220669,0.9452348634187393,0.49524623597864553,0.7849452142704347,0.6073172301553003,0.43607721966936036,0.7716795964786087,0.19869120671211982,0.41420454545454544,0.8683813810348511,2.6578333377838135,0.9999267856445553,33025
3,4903,1226,10,0.9994161240171467,0.9708713410242931,0.48362289105052625,0.7781498634366465,0.5965116702472417,0.42502075550020757,0.7603806688746695,0.18395604609653562,0.42680776014109345,0.9401289224624634,2.765151262283325,0.9999193451850144,32764
4,4903,1226,10,0.9919845626204933,0.9457374489083764,0.46496670594749623,0.7753077651515151,0.5813105180478021,0.40975176417596715,0.7695849566151122,0.18645455459191357,0.5104277129727819,0.8969194293022156,2.74219012260437,0.9999281231543558,32749
5,4904,1225,10,0.9956316534691105,0.9487293402759396,0.46866692532080295,0.7862256828098257,0.5872661468930623,0.41569482149912695,0.7697137958155844,0.18937070000125122,0.3298039215686274,0.8838059306144714,2.6381964683532715,0.9999344656212638,32615
